epoch,train_loss,val_cross_entropy,best_val,best_epoch
0,1.272742,1.013197,1.013197,0
1,0.950587,0.90007,0.90007,1
2,0.876635,0.856437,0.856437,2
3,0.842161,0.833042,0.833042,3
4,0.822679,0.814628,0.814628,4
5,0.808673,0.81053,0.81053,5
6,0.798081,0.798824,0.798824,6
7,0.788184,0.795792,0.795792,7
8,0.780194,0.785753,0.785753,8
9,0.77361,0.780496,0.780496,9
10,0.766859,0.775661,0.775661,10
11,0.760387,0.773609,0.773609,11
12,0.754976,0.769822,0.769822,12
13,0.749846,0.766087,0.766087,13
14,0.745145,0.763531,0.763531,14
15,0.740396,0.76031,0.76031,15
16,0.736648,0.757733,0.757733,16
17,0.732449,0.756419,0.756419,17
18,0.729098,0.755654,0.755654,18
19,0.725923,0.752094,0.752094,19
20,0.722446,0.751795,0.751795,20
21,0.719155,0.749952,0.749952,21
22,0.716668,0.747487,0.747487,22
23,0.714107,0.746048,0.746048,23
24,0.711614,0.747571,0.746048,23
25,0.708967,0.744657,0.744657,25
26,0.706856,0.744933,0.744657,25
27,0.704992,0.744926,0.744657,25
28,0.703099,0.743434,0.743434,28
29,0.701459,0.742889,0.742889,29
30,0.699657,0.740454,0.740454,30
31,0.697931,0.741704,0.740454,30
32,0.696668,0.741207,0.740454,30
33,0.69517,0.739887,0.739887,33
34,0.694133,0.740668,0.739887,33
