epoch,train_loss,val_cross_entropy,best_val,best_epoch
0,1.157559,1.003661,1.003661,0
1,0.973952,0.957346,0.957346,1
2,0.941712,0.935168,0.935168,2
3,0.925356,0.922543,0.922543,3
4,0.916079,0.924806,0.922543,3
5,0.908405,0.910716,0.910716,5
6,0.902095,0.910771,0.910716,5
7,0.896383,0.901056,0.901056,7
8,0.89119,0.899832,0.899832,8
9,0.886551,0.895671,0.895671,9
10,0.881967,0.89255,0.89255,10
11,0.877802,0.893745,0.89255,10
12,0.87338,0.885176,0.885176,12
13,0.869487,0.887321,0.885176,12
14,0.865759,0.881779,0.881779,14
15,0.862135,0.880456,0.880456,15
16,0.858652,0.87854,0.87854,16
17,0.855531,0.877141,0.877141,17
18,0.852292,0.873653,0.873653,18
19,0.849461,0.871839,0.871839,19
20,0.846887,0.871455,0.871455,20
21,0.844162,0.870007,0.870007,21
22,0.841478,0.868619,0.868619,22
23,0.83931,0.868259,0.868259,23
24,0.837132,0.866217,0.866217,24
25,0.835049,0.865958,0.865958,25
26,0.833073,0.866374,0.865958,25
27,0.831075,0.865015,0.865015,27
28,0.829367,0.864159,0.864159,28
29,0.827822,0.8639,0.8639,29
30,0.826476,0.863406,0.863406,30
31,0.824874,0.864581,0.863406,30
32,0.82351,0.862257,0.862257,32
33,0.822213,0.861533,0.861533,33
34,0.821069,0.861798,0.861533,33
